Data;Aktywnoœæ;ID;Wejœcia;Podstawa;Pozycja;Km CAN;Wyjœcia;RPM CAN;Prêdkoœæ CAN;Poziom Paliwa;Licznika paliwa CAN;Kierowca 1;Kierowca 2;Zamek naczepy;Debug;ANA1;ANA2;Identycikacja1;Identycikacja2;Termometr 1;Termometr 2;Termometr 1,2 x10;Termometr 3;Termometr 3,4 x10;Tech Stat;Licznik We 11;VIN Naczepy
13-06-2023 01:24:39;C;431159 ;;SQ:31 (23430) SAT:0 v:91 25.6V 2G 0km/h;51,325,500,986,300 fix: false;557850;null;null;null;41;138968;34825;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
13-06-2023 01:26:09;C;431160 ;;SQ:31 (23430) SAT:0 v:91 25.6V 2G 0km/h;51,325,500,986,300 fix: false;557850;null;null;null;41;138968;34825;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
13-06-2023 01:27:40;C;431161 ;;SQ:31 (23430) SAT:0 v:91 25.6V 2G 0km/h;51,325,500,986,300 fix: false;557850;null;null;null;41;138968;34825;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
13-06-2023 01:29:09;C;431162 ;;SQ:31 (23430) SAT:0 v:91 25.6V 2G 0km/h;51,325,500,986,300 fix: false;557850;null;null;null;41;138968;34825;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
13-06-2023 01:30:40;C;431163 ;;SQ:31 (23430) SAT:0 v:91 25.6V 2G 0km/h;51,325,500,986,300 fix: false;557850;null;null;null;41;138968;34825;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
13-06-2023 01:32:09;C;431164 ;;SQ:31 (23430) SAT:0 v:91 25.6V 2G 0km/h;51,325,500,986,300 fix: false;557850;null;null;null;41;138968;34825;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
13-06-2023 01:33:40;C;431165 ;;SQ:31 (23430) SAT:0 v:91 25.6V 2G 0km/h;51,325,500,986,300 fix: false;557850;null;null;null;41;138968;34825;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
13-06-2023 01:35:10;C;431166 ;;SQ:31 (23430) SAT:0 v:91 25.6V 2G 0km/h;51,325,500,986,300 fix: false;557850;null;null;null;41;138968;34825;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
13-06-2023 01:36:40;C;431167 ;;SQ:31 (23430) SAT:0 v:91 25.6V 2G 0km/h;51,325,500,986,300 fix: false;557850;null;null;null;41;138968;34825;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
13-06-2023 01:38:10;C;431168 ;;SQ:31 (23430) SAT:0 v:91 25.6V 2G 0km/h;51,325,500,986,300 fix: false;557850;null;null;null;41;138968;34825;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
13-06-2023 01:39:40;C;431169 ;;SQ:31 (23430) SAT:0 v:91 25.6V 2G 0km/h;51,325,500,986,300 fix: false;557850;null;null;null;41;138968;0;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
13-06-2023 01:41:10;C;431170 ;;SQ:31 (23430) SAT:0 v:91 25.6V 2G 0km/h;51,325,500,986,300 fix: false;557850;null;null;null;41;138968;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
13-06-2023 01:42:40;C;431171 ;;SQ:31 (23430) SAT:0 v:91 25.7V 2G 0km/h;51,325,500,986,300 fix: false;557850;null;null;null;41;138968;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
13-06-2023 01:44:10;C;431172 ;;SQ:31 (23430) SAT:0 v:91 25.7V 2G 0km/h;51,325,500,986,300 fix: false;557850;null;null;null;41;138968;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
